"date","Primer cuartil","Mediana","Tercer cuartil","Tasa real ex-ante","Tasa real ex-post"
2021-12-17,5.5,7.36,4.11,1.39,-1.86
2021-12-18,5.5,7.36,4.11,1.39,-1.86
2021-12-19,5.5,7.36,4.11,1.39,-1.86
2021-12-20,5.5,7.36,4.11,1.39,-1.86
2021-12-21,5.5,7.36,4.11,1.39,-1.86
2021-12-22,5.5,7.36,4.11,1.39,-1.86
2021-12-23,5.5,7.36,4.11,1.39,-1.86
2021-12-24,5.5,7.36,4.11,1.39,-1.86
2021-12-25,5.5,7.36,4.11,1.39,-1.86
2021-12-26,5.5,7.36,4.11,1.39,-1.86
2021-12-27,5.5,7.36,4.11,1.39,-1.86
2021-12-28,5.5,7.36,4.11,1.39,-1.86
2021-12-29,5.5,7.36,4.11,1.39,-1.86
2021-12-30,5.5,7.36,4.11,1.39,-1.86
2021-12-31,5.5,7.36,4.11,1.39,-1.86
2022-01-01,5.5,7.07,4.33,1.17,-1.57
2022-01-02,5.5,7.07,4.33,1.17,-1.57
2022-01-03,5.5,7.07,4.33,1.17,-1.57
2022-01-04,5.5,7.07,4.33,1.17,-1.57
2022-01-05,5.5,7.07,4.33,1.17,-1.57
2022-01-06,5.5,7.07,4.33,1.17,-1.57
2022-01-07,5.5,7.07,4.33,1.17,-1.57
2022-01-08,5.5,7.07,4.33,1.17,-1.57
2022-01-09,5.5,7.07,4.33,1.17,-1.57
2022-01-10,5.5,7.07,4.33,1.17,-1.57
2022-01-11,5.5,7.07,4.33,1.17,-1.57
2022-01-12,5.5,7.07,4.33,1.17,-1.57
2022-01-13,5.5,7.07,4.33,1.17,-1.57
2022-01-14,5.5,7.07,4.33,1.17,-1.57
2022-01-15,5.5,7.07,4.33,1.17,-1.57
2022-01-16,5.5,7.07,4.33,1.17,-1.57
2022-01-17,5.5,7.07,4.33,1.17,-1.57
2022-01-18,5.5,7.07,4.33,1.17,-1.57
2022-01-19,5.5,7.07,4.33,1.17,-1.57
2022-01-20,5.5,7.07,4.33,1.17,-1.57
2022-01-21,5.5,7.07,4.33,1.17,-1.57
2022-01-22,5.5,7.07,4.33,1.17,-1.57
2022-01-23,5.5,7.07,4.33,1.17,-1.57
2022-01-24,5.5,7.07,4.33,1.17,-1.57
2022-01-25,5.5,7.07,4.33,1.17,-1.57
2022-01-26,5.5,7.07,4.33,1.17,-1.57
2022-01-27,5.5,7.07,4.33,1.17,-1.57
2022-01-28,5.5,7.07,4.33,1.17,-1.57
2022-01-29,5.5,7.07,4.33,1.17,-1.57
2022-01-30,5.5,7.07,4.33,1.17,-1.57
2022-01-31,5.5,7.07,4.33,1.17,-1.57
2022-02-01,5.5,7.28,4.29,1.21,-1.78
2022-02-02,5.5,7.28,4.29,1.21,-1.78
2022-02-03,5.5,7.28,4.29,1.21,-1.78
2022-02-04,5.5,7.28,4.29,1.21,-1.78
2022-02-05,5.5,7.28,4.29,1.21,-1.78
2022-02-06,5.5,7.28,4.29,1.21,-1.78
2022-02-07,5.5,7.28,4.29,1.21,-1.78
2022-02-08,5.5,7.28,4.29,1.21,-1.78
2022-02-09,5.5,7.28,4.29,1.21,-1.78
2022-02-10,5.5,7.28,4.29,1.21,-1.78
2022-02-11,6,7.28,4.29,1.71,-1.28
2022-02-12,6,7.28,4.29,1.71,-1.28
2022-02-13,6,7.28,4.29,1.71,-1.28
2022-02-14,6,7.28,4.29,1.71,-1.28
2022-02-15,6,7.28,4.29,1.71,-1.28
2022-02-16,6,7.28,4.29,1.71,-1.28
2022-02-17,6,7.28,4.29,1.71,-1.28
2022-02-18,6,7.28,4.29,1.71,-1.28
2022-02-19,6,7.28,4.29,1.71,-1.28
2022-02-20,6,7.28,4.29,1.71,-1.28
2022-02-21,6,7.28,4.29,1.71,-1.28
2022-02-22,6,7.28,4.29,1.71,-1.28
2022-02-23,6,7.28,4.29,1.71,-1.28
2022-02-24,6,7.28,4.29,1.71,-1.28
2022-02-25,6,7.28,4.29,1.71,-1.28
2022-02-26,6,7.28,4.29,1.71,-1.28
2022-02-27,6,7.28,4.29,1.71,-1.28
2022-02-28,6,7.28,4.29,1.71,-1.28
2022-03-01,6,7.45,4.82,1.18,-1.45
2022-03-02,6,7.45,4.82,1.18,-1.45
2022-03-03,6,7.45,4.82,1.18,-1.45
2022-03-04,6,7.45,4.82,1.18,-1.45
2022-03-05,6,7.45,4.82,1.18,-1.45
2022-03-06,6,7.45,4.82,1.18,-1.45
2022-03-07,6,7.45,4.82,1.18,-1.45
2022-03-08,6,7.45,4.82,1.18,-1.45
2022-03-09,6,7.45,4.82,1.18,-1.45
2022-03-10,6,7.45,4.82,1.18,-1.45
2022-03-11,6,7.45,4.82,1.18,-1.45
2022-03-12,6,7.45,4.82,1.18,-1.45
2022-03-13,6,7.45,4.82,1.18,-1.45
2022-03-14,6,7.45,4.82,1.18,-1.45
2022-03-15,6,7.45,4.82,1.18,-1.45
2022-03-16,6,7.45,4.82,1.18,-1.45
2022-03-17,6,7.45,4.82,1.18,-1.45
2022-03-18,6,7.45,4.82,1.18,-1.45
2022-03-19,6,7.45,4.82,1.18,-1.45
2022-03-20,6,7.45,4.82,1.18,-1.45
2022-03-21,6,7.45,4.82,1.18,-1.45
2022-03-22,6,7.45,4.82,1.18,-1.45
2022-03-23,6,7.45,4.82,1.18,-1.45
2022-03-24,6,7.45,4.82,1.18,-1.45
2022-03-25,6.5,7.45,4.82,1.68,-0.95
2022-03-26,6.5,7.45,4.82,1.68,-0.95
2022-03-27,6.5,7.45,4.82,1.68,-0.95
2022-03-28,6.5,7.45,4.82,1.68,-0.95
2022-03-29,6.5,7.45,4.82,1.68,-0.95
2022-03-30,6.5,7.45,4.82,1.68,-0.95
2022-03-31,6.5,7.45,4.82,1.68,-0.95
2022-04-01,6.5,7.68,5.02,1.48,-1.18
