"date","No subyacente","Subyacente","Inflación general"
2024-11-01,7.6,3.58,4.55
2024-10-01,7.68,3.8,4.76
2024-09-01,6.5,3.91,4.58
2024-08-01,8.03,4,4.99
2024-07-01,10.36,4.05,5.57
2024-06-01,7.67,4.13,4.98
2024-05-01,6.19,4.21,4.69
2024-04-01,5.54,4.37,4.65
2024-03-01,4.03,4.55,4.42
2024-02-01,3.67,4.64,4.4
2024-01-01,5.24,4.76,4.88
2023-12-01,3.39,5.09,4.66
2023-11-01,1.43,5.3,4.32
2023-10-01,0.56,5.5,4.26
2023-09-01,0.6,5.76,4.45
2023-08-01,0.37,6.08,4.64
2023-07-01,-0.67,6.64,4.79
2023-06-01,-0.36,6.89,5.06
2023-05-01,1.24,7.39,5.84
2023-04-01,2.12,7.67,6.25
2023-03-01,3.27,8.09,6.85
2023-02-01,5.65,8.29,7.62
2023-01-01,6.32,8.45,7.91
2022-12-01,6.27,8.35,7.82
2022-11-01,5.73,8.51,7.8
2022-10-01,8.36,8.42,8.41
2022-09-01,9.96,8.28,8.7
2022-08-01,10.65,8.05,8.7
2022-07-01,9.65,7.65,8.15
2022-06-01,9.47,7.49,7.99
2022-05-01,8.77,7.28,7.65
2022-04-01,9.07,7.22,7.68
2022-03-01,9.45,6.78,7.45
2022-02-01,9.34,6.59,7.28
2022-01-01,9.68,6.21,7.07
2021-12-01,11.74,5.94,7.36
2021-11-01,12.61,5.67,7.37
2021-10-01,9.47,5.19,6.24
2021-09-01,9.37,4.92,6
2021-08-01,8.14,4.78,5.59
2021-07-01,9.39,4.66,5.81
2021-06-01,10,4.58,5.88
2021-05-01,10.76,4.37,5.89
2021-04-01,12.34,4.13,6.08
2021-03-01,6.31,4.12,4.67
2021-02-01,3.43,3.87,3.76
2021-01-01,2.63,3.84,3.54
2020-12-01,1.18,3.8,3.15
2020-11-01,2.33,3.66,3.33
2020-10-01,4.42,3.98,4.09
2020-09-01,4.1,3.99,4.01
2020-08-01,4.3,3.97,4.05
2020-07-01,2.92,3.85,3.62
2020-06-01,2.16,3.71,3.33
2020-05-01,0.35,3.64,2.84
2020-04-01,-1.96,3.5,2.15
2020-03-01,2.19,3.6,3.25
2020-02-01,3.81,3.66,3.7
2020-01-01,1.81,3.73,3.24
2019-12-01,0.59,3.59,2.83
2019-11-01,0.98,3.65,2.97
2019-10-01,1.01,3.68,3.02
2019-09-01,0.71,3.75,3
2019-08-01,1.28,3.78,3.16
2019-07-01,3.64,3.82,3.78
2019-06-01,4.19,3.85,3.95
2019-05-01,5.78,3.77,4.28
2019-04-01,6.08,3.87,4.41
2019-03-01,5.47,3.55,4
2019-02-01,5.25,3.54,3.94
2019-01-01,6.81,3.6,4.37
2018-12-01,8.4,3.68,4.83
2018-11-01,8.07,3.63,4.72
2018-10-01,8.5,3.73,4.9
2018-09-01,9.15,3.67,5.02
2018-08-01,8.8,3.63,4.9
2018-07-01,8.38,3.63,4.81
2018-06-01,7.79,3.62,4.65
2018-05-01,6.99,3.69,4.51
2018-04-01,7.07,3.71,4.55
2018-03-01,8.03,4.02,5.04
2018-02-01,8.49,4.27,5.34
2018-01-01,8.44,4.56,5.55
2017-12-01,12.62,4.87,6.77
2017-11-01,11.97,4.9,6.63
2017-10-01,11.4,4.77,6.37
2017-09-01,11.28,4.8,6.35
2017-08-01,11.98,5,6.66
2017-07-01,11.27,4.94,6.44
2017-06-01,11.09,4.83,6.31
2017-05-01,10.6,4.78,6.16
2017-04-01,9.25,4.72,5.82
2017-03-01,8.02,4.48,5.35
2017-02-01,6.71,4.26,4.86
2017-01-01,7.4,3.84,4.72
2016-12-01,3.13,3.44,3.36
2016-11-01,3.34,3.29,3.31
2016-10-01,2.95,3.1,3.06
2016-09-01,2.65,3.07,2.97
2016-08-01,1.99,2.96,2.73
2016-07-01,1.65,2.97,2.65
2016-06-01,1.16,2.97,2.54
2016-05-01,1.55,2.93,2.6
2016-04-01,1.66,2.83,2.54
2016-03-01,2.12,2.76,2.6
2016-02-01,3.49,2.66,2.87
2016-01-01,2.52,2.64,2.61
2015-12-01,1.28,2.41,2.13
2015-11-01,1.84,2.34,2.21
2015-10-01,2.52,2.47,2.48
2015-09-01,2.96,2.38,2.52
2015-08-01,3.51,2.3,2.59
2015-07-01,4.12,2.31,2.74
2015-06-01,4.63,2.33,2.87
2015-05-01,4.64,2.33,2.88
2015-04-01,5.46,2.31,3.06
2015-03-01,5.29,2.45,3.14
2015-02-01,4.88,2.4,3
2015-01-01,5.34,2.34,3.07
2014-12-01,6.7,3.24,4.08
2014-11-01,6.78,3.34,4.17
2014-10-01,7.51,3.32,4.3
2014-09-01,7.11,3.34,4.22
2014-08-01,6.72,3.37,4.15
2014-07-01,6.83,3.25,4.07
2014-06-01,5.96,3.09,3.75
2014-05-01,5.19,3,3.51
2014-04-01,4.75,3.11,3.5
2014-03-01,6.54,2.89,3.76
2014-02-01,8.28,2.98,4.23
2014-01-01,8.58,3.21,4.48
2013-12-01,7.84,2.78,3.97
2013-11-01,7.02,2.56,3.62
2013-10-01,6.18,2.48,3.36
2013-09-01,6.2,2.52,3.39
2013-08-01,7.01,2.37,3.46
2013-07-01,6.6,2.5,3.47
2013-06-01,8.39,2.79,4.09
2013-05-01,10.56,2.88,4.63
2013-04-01,10.32,2.95,4.65
2013-03-01,8.29,3.02,4.25
2013-02-01,5.47,2.96,3.55
