"date","No subyacente","Subyacente","Inflación general"
2024-12-01,-0.04,0.51,0.38
2024-11-01,1.73,0.05,0.44
2024-10-01,1.46,0.28,0.55
2024-09-01,-0.72,0.28,0.05
2024-08-01,-0.7,0.22,0.01
2024-07-01,3.29,0.32,1.05
2024-06-01,0.87,0.22,0.38
2024-05-01,-1.28,0.17,-0.19
2024-04-01,0.18,0.21,0.2
2024-03-01,-0.16,0.44,0.29
2024-02-01,-1.1,0.49,0.09
2024-01-01,2.37,0.4,0.89
2023-12-01,1.53,0.44,0.71
2023-11-01,1.81,0.26,0.64
2023-10-01,0.34,0.39,0.38
2023-09-01,0.7,0.36,0.44
2023-08-01,1.44,0.27,0.55
2023-07-01,0.77,0.39,0.48
2023-06-01,-0.52,0.3,0.1
2023-05-01,-1.88,0.32,-0.22
2023-04-01,-1.25,0.39,-0.02
2023-03-01,-0.5,0.52,0.27
2023-02-01,0.4,0.61,0.56
2023-01-01,0.57,0.71,0.68
2022-12-01,-0.4,0.65,0.38
2022-11-01,0.94,0.45,0.58
2022-10-01,0.38,0.63,0.57
2022-09-01,0.47,0.67,0.62
2022-08-01,0.39,0.8,0.7
2022-07-01,1.09,0.62,0.74
2022-06-01,1.07,0.77,0.84
2022-05-01,-1.02,0.59,0.18
2022-04-01,-0.14,0.78,0.54
2022-03-01,1.79,0.72,0.99
2022-02-01,1.04,0.76,0.83
