"date","value"
2024-10-28,20.0007
2024-10-29,20.0208
2024-10-30,20.1617
2024-10-31,20.0378
2024-11-01,20.0908
2024-11-04,20.0367
2024-11-05,20.2695
2024-11-06,20.3093
2024-11-07,19.8277
2024-11-08,20.1332
2024-11-11,20.4502
2024-11-12,20.5693
2024-11-13,20.6025
2024-11-14,20.494
2024-11-15,20.3887
2024-11-19,20.1848
2024-11-20,20.2903
2024-11-21,20.3775
2024-11-22,20.4872
2024-11-25,20.2993
2024-11-26,20.7185
2024-11-27,20.6418
2024-11-28,20.4173
2024-11-29,20.3212
2024-12-02,20.4357
2024-12-03,20.3233
2024-12-04,20.283
2024-12-05,20.1963
2024-12-06,20.2275
2024-12-09,20.1547
2024-12-10,20.2485
2024-12-11,20.1647
2024-12-13,20.142
2024-12-16,20.1448
2024-12-17,20.2363
2024-12-18,20.1395
2024-12-19,20.4402
2024-12-20,20.1035
2024-12-23,20.1948
2024-12-24,20.1558
2024-12-26,20.1657
2024-12-27,20.2683
2024-12-30,20.5103
2024-12-31,20.7862
2025-01-02,20.6917
2025-01-03,20.6708
2025-01-06,20.3195
2025-01-07,20.344
2025-01-08,20.3823
2025-01-09,20.4742
2025-01-10,20.7045
2025-01-13,20.8012
2025-01-14,20.482
2025-01-15,20.4875
2025-01-16,20.7732
2025-01-17,20.718
2025-01-20,20.543
2025-01-21,20.6358
2025-01-22,20.5397
2025-01-23,20.3943
2025-01-24,20.2255
2025-01-27,20.7002
