"date","Tasa objetivo","Inflación","Inflación esperada","Tasa real ex-ante","Tasa real ex-post"
2020-01-01,7.25,3.24,3.41,3.84,4.01
2020-01-02,7.25,3.24,3.41,3.84,4.01
2020-01-03,7.25,3.24,3.41,3.84,4.01
2020-01-04,7.25,3.24,3.41,3.84,4.01
2020-01-05,7.25,3.24,3.41,3.84,4.01
2020-01-06,7.25,3.24,3.41,3.84,4.01
2020-01-07,7.25,3.24,3.41,3.84,4.01
2020-01-08,7.25,3.24,3.41,3.84,4.01
2020-01-09,7.25,3.24,3.41,3.84,4.01
2020-01-10,7.25,3.24,3.41,3.84,4.01
2020-01-11,7.25,3.24,3.41,3.84,4.01
2020-01-12,7.25,3.24,3.41,3.84,4.01
2020-01-13,7.25,3.24,3.41,3.84,4.01
2020-01-14,7.25,3.24,3.41,3.84,4.01
2020-01-15,7.25,3.24,3.41,3.84,4.01
2020-01-16,7.25,3.24,3.41,3.84,4.01
2020-01-17,7.25,3.24,3.41,3.84,4.01
2020-01-18,7.25,3.24,3.41,3.84,4.01
2020-01-19,7.25,3.24,3.41,3.84,4.01
2020-01-20,7.25,3.24,3.41,3.84,4.01
2020-01-21,7.25,3.24,3.41,3.84,4.01
2020-01-22,7.25,3.24,3.41,3.84,4.01
2020-01-23,7.25,3.24,3.41,3.84,4.01
2020-01-24,7.25,3.24,3.41,3.84,4.01
2020-01-25,7.25,3.24,3.41,3.84,4.01
2020-01-26,7.25,3.24,3.41,3.84,4.01
2020-01-27,7.25,3.24,3.41,3.84,4.01
2020-01-28,7.25,3.24,3.41,3.84,4.01
2020-01-29,7.25,3.24,3.41,3.84,4.01
2020-01-30,7.25,3.24,3.41,3.84,4.01
2020-01-31,7.25,3.24,3.41,3.84,4.01
2020-02-01,7.25,3.7,3.45,3.8,3.55
2020-02-02,7.25,3.7,3.45,3.8,3.55
2020-02-03,7.25,3.7,3.45,3.8,3.55
2020-02-04,7.25,3.7,3.45,3.8,3.55
2020-02-05,7.25,3.7,3.45,3.8,3.55
2020-02-06,7.25,3.7,3.45,3.8,3.55
2020-02-07,7.25,3.7,3.45,3.8,3.55
2020-02-08,7.25,3.7,3.45,3.8,3.55
2020-02-09,7.25,3.7,3.45,3.8,3.55
2020-02-10,7.25,3.7,3.45,3.8,3.55
2020-02-11,7.25,3.7,3.45,3.8,3.55
2020-02-12,7.25,3.7,3.45,3.8,3.55
2020-02-13,7,3.7,3.45,3.55,3.3
2020-02-14,7,3.7,3.45,3.55,3.3
2020-02-15,7,3.7,3.45,3.55,3.3
2020-02-16,7,3.7,3.45,3.55,3.3
2020-02-17,7,3.7,3.45,3.55,3.3
2020-02-18,7,3.7,3.45,3.55,3.3
2020-02-19,7,3.7,3.45,3.55,3.3
2020-02-20,7,3.7,3.45,3.55,3.3
2020-02-21,7,3.7,3.45,3.55,3.3
2020-02-22,7,3.7,3.45,3.55,3.3
2020-02-23,7,3.7,3.45,3.55,3.3
2020-02-24,7,3.7,3.45,3.55,3.3
2020-02-25,7,3.7,3.45,3.55,3.3
2020-02-26,7,3.7,3.45,3.55,3.3
2020-02-27,7,3.7,3.45,3.55,3.3
2020-02-28,7,3.7,3.45,3.55,3.3
2020-02-29,7,3.7,3.45,3.55,3.3
2020-03-01,7,3.25,3.49,3.51,3.75
2020-03-02,7,3.25,3.49,3.51,3.75
2020-03-03,7,3.25,3.49,3.51,3.75
2020-03-04,7,3.25,3.49,3.51,3.75
2020-03-05,7,3.25,3.49,3.51,3.75
2020-03-06,7,3.25,3.49,3.51,3.75
2020-03-07,7,3.25,3.49,3.51,3.75
2020-03-08,7,3.25,3.49,3.51,3.75
2020-03-09,7,3.25,3.49,3.51,3.75
2020-03-10,7,3.25,3.49,3.51,3.75
2020-03-11,7,3.25,3.49,3.51,3.75
2020-03-12,7,3.25,3.49,3.51,3.75
2020-03-13,7,3.25,3.49,3.51,3.75
2020-03-14,7,3.25,3.49,3.51,3.75
2020-03-15,7,3.25,3.49,3.51,3.75
2020-03-16,7,3.25,3.49,3.51,3.75
2020-03-17,7,3.25,3.49,3.51,3.75
2020-03-18,7,3.25,3.49,3.51,3.75
2020-03-19,7,3.25,3.49,3.51,3.75
2020-03-20,6.5,3.25,3.49,3.01,3.25
2020-03-21,6.5,3.25,3.49,3.01,3.25
2020-03-22,6.5,3.25,3.49,3.01,3.25
2020-03-23,6.5,3.25,3.49,3.01,3.25
2020-03-24,6.5,3.25,3.49,3.01,3.25
2020-03-25,6.5,3.25,3.49,3.01,3.25
2020-03-26,6.5,3.25,3.49,3.01,3.25
2020-03-27,6.5,3.25,3.49,3.01,3.25
2020-03-28,6.5,3.25,3.49,3.01,3.25
2020-03-29,6.5,3.25,3.49,3.01,3.25
2020-03-30,6.5,3.25,3.49,3.01,3.25
2020-03-31,6.5,3.25,3.49,3.01,3.25
2020-04-01,6.5,2.15,3.63,2.87,4.35
2020-04-02,6.5,2.15,3.63,2.87,4.35
2020-04-03,6.5,2.15,3.63,2.87,4.35
2020-04-04,6.5,2.15,3.63,2.87,4.35
2020-04-05,6.5,2.15,3.63,2.87,4.35
2020-04-06,6.5,2.15,3.63,2.87,4.35
2020-04-07,6.5,2.15,3.63,2.87,4.35
2020-04-08,6.5,2.15,3.63,2.87,4.35
2020-04-09,6.5,2.15,3.63,2.87,4.35
2020-04-10,6.5,2.15,3.63,2.87,4.35
2020-04-11,6.5,2.15,3.63,2.87,4.35
2020-04-12,6.5,2.15,3.63,2.87,4.35
2020-04-13,6.5,2.15,3.63,2.87,4.35
2020-04-14,6.5,2.15,3.63,2.87,4.35
2020-04-15,6.5,2.15,3.63,2.87,4.35
2020-04-16,6.5,2.15,3.63,2.87,4.35
2020-04-17,6.5,2.15,3.63,2.87,4.35
2020-04-18,6.5,2.15,3.63,2.87,4.35
2020-04-19,6.5,2.15,3.63,2.87,4.35
